"Lundi 17 Avril 2017","Mon premier livre : <br> Like A Boss","mon-premier-livre-like-a-boss","/up/christ-azika-eros-mon-premier-livre-like-a-boss.png",
"Lundi 16 Janvier 2017","Bitcoin : innovation et opportunités business","bitcoin-innovation-et-opportunites-business","/up/christ-azika-eros-bitcoin-innovation-et-opportunites-business.png",
"Jeudi 12 Janvier 2017","Les 5 lois <br>du Marketing","les-5-lois-du-marketing","/up/christ-azika-eros-les-5-lois-du-marketing.jpg",
"Samedi 8 Juillet 2016","Definir l'identite de sa marque avec le prisme de marque","definir-l-identite-de-sa-marque-avec-le-prisme-de-marque","/up/christ-azika-eros-definir-l-identite-de-sa-marque-avec-le-prisme-de-marque.jpg",
"Mercredi 3 Mars 2015","L’importance du positionnement dans sa stratégie","l-importance-du-positionnement-dans-sa-strategie-d-entreprise","/up/christ-azika-eros-l-importance-du-positionnement-dans-sa-strategie-d-entreprise.jpg",
"Mercredi 29 Octobre 2014","Comment choisir ses associé(e)s et limiter la casse...","comment-choisir-ses-associees-et-limiter-la-casse-avant-de-s-engager","/up/christ-azika-eros-comment-choisir-ses-associees-et-limiter-la-casse-avant-de-s-engager.jpg",
"Dimanche 29 Juin 2014","Comment j'ai lancé rendezvous.ci en 2 jours","comment-j-ai-lance-rendezvous-ci-en-2-jours","/up/christ-azika-eros-comment-j-ai-lance-rendezvous-ci-en-2-jours.jpg",
"Dimanche 11 Mai 2014","Comment trouver La bonne idée d'entreprise","comment-trouver-La-bonne-idee-d-entreprise","/up/christ-azika-eros-comment-trouver-La-bonne-idee-d-entreprise.jpg",
"Dimanche 8 Février 2014","Des photos de qualité pour vos présentations et votre site web","des-photos-de-qualite-pour-vos-presentations-et-votre-site-web","/up/christ-azika-eros-des-photos-de-qualite-pour-vos-presentations-et-votre-site-web.jpg",
"Dimanche 20 Octobre 2013","Ce que tous les étudiants devraient savoir...","ce-que-tous-les-etudiants-devraient-savoir-avant-d-etre-diplomes","/up/christ-azika-eros-ce-que-tous-les-etudiants-devraient-savoir-avant-d-etre-diplomes.jpg",
"Jeudi 18 Juillet 2013","3 astuces pour être plus productif","3-astuces-pour-etre-plus-productif","/up/christ-azika-eros-3-astuces-pour-etre-plus-productif-3-tips-to-be-more-productive.png",
